layer_idx,func,term,rho,pval,checkpoint
0,norm_ratio,T,,,4000
0,norm_ratio,F,,,4000
0,norm_ratio,C,,,4000
0,spim,I,0.0260225422647546,1.8838338903634372e-50,4000
0,spim,S,,,4000
0,spim,T,,,4000
0,spim,F,,,4000
0,spim,C,,,4000
1,cosine,I,0.60116191643558,0.0,4000
1,cosine,S,0.6273770946143125,0.0,4000
1,cosine,T,0.34205877859554185,0.0,4000
1,cosine,F,0.7387068868087796,0.0,4000
1,cosine,C,0.5078356613720679,0.0,4000
1,l2,I,0.5981759635542813,0.0,4000
1,l2,S,0.5833905201305558,0.0,4000
1,l2,T,0.3615626440992714,0.0,4000
1,l2,F,0.7407376016821613,0.0,4000
1,l2,C,0.4504620943795807,0.0,4000
1,norm_ratio,I,0.7410351294988877,0.0,4000
1,norm_ratio,S,0.847104189148047,0.0,4000
1,norm_ratio,T,0.7690313524770731,0.0,4000
1,norm_ratio,F,0.4938125633117142,0.0,4000
1,norm_ratio,C,0.471716084485156,0.0,4000
1,spim,I,0.7050275625316577,0.0,4000
1,spim,S,0.7546782511043583,0.0,4000
1,spim,T,0.5817539601259013,0.0,4000
1,spim,F,0.7257393018956965,0.0,4000
1,spim,C,0.5247753558453123,0.0,4000
2,cosine,I,0.5348731716215018,0.0,4000
2,cosine,S,0.6552940665832242,0.0,4000
2,cosine,T,0.6536518493994732,0.0,4000
2,cosine,F,0.7775476456890351,0.0,4000
2,cosine,C,0.4527387176350537,0.0,4000
2,l2,I,0.5098947385000889,0.0,4000
2,l2,S,0.6305398563093085,0.0,4000
2,l2,T,0.6751429279687017,0.0,4000
2,l2,F,0.7767106208583775,0.0,4000
2,l2,C,0.4459043906943687,0.0,4000
2,norm_ratio,I,0.819735410067039,0.0,4000
2,norm_ratio,S,0.8661911940198604,0.0,4000
2,norm_ratio,T,0.8648360491387246,0.0,4000
2,norm_ratio,F,0.5765868907327478,0.0,4000
2,norm_ratio,C,0.5004103436425278,0.0,4000
2,spim,I,0.7845038294025002,0.0,4000
2,spim,S,0.7800990201955278,0.0,4000
2,spim,T,0.7947619348537632,0.0,4000
2,spim,F,0.7342762041423935,0.0,4000
2,spim,C,0.7333400936244137,0.0,4000
3,cosine,I,0.4596971112052754,0.0,4000
3,cosine,S,0.6010858554535987,0.0,4000
3,cosine,T,0.5101196367682622,0.0,4000
3,cosine,F,0.7773468051920663,0.0,4000
3,cosine,C,0.37343207826205205,0.0,4000
3,l2,I,0.42228977889918723,0.0,4000
3,l2,S,0.608843720721439,0.0,4000
3,l2,T,0.5660522806591544,0.0,4000
3,l2,F,0.7834496279072773,0.0,4000
3,l2,C,0.27403356572268783,0.0,4000
3,norm_ratio,I,0.7991312122747574,0.0,4000
3,norm_ratio,S,0.8656747364477545,0.0,4000
3,norm_ratio,T,0.798167197106558,0.0,4000
3,norm_ratio,F,0.64828218671963,0.0,4000
3,norm_ratio,C,0.35784070185890515,0.0,4000
3,spim,I,0.6518471030066125,0.0,4000
3,spim,S,0.7511825096396457,0.0,4000
3,spim,T,0.74221979725291,0.0,4000
3,spim,F,0.7590798063639909,0.0,4000
3,spim,C,0.7860561751987818,0.0,4000
4,cosine,I,0.4458787901023777,0.0,4000
4,cosine,S,0.5479766439323043,0.0,4000
4,cosine,T,0.480123721905259,0.0,4000
4,cosine,F,0.7586224045647048,0.0,4000
4,cosine,C,0.1279063648510165,0.0,4000
4,l2,I,0.4375949833376303,0.0,4000
4,l2,S,0.5603713994258956,0.0,4000
4,l2,T,0.5401685561798107,0.0,4000
4,l2,F,0.7613067546364861,0.0,4000
4,l2,C,0.20330494308025945,0.0,4000
4,norm_ratio,I,0.8011991947293885,0.0,4000
4,norm_ratio,S,0.8109659847782624,0.0,4000
4,norm_ratio,T,0.7789512825230248,0.0,4000
4,norm_ratio,F,0.6311194080932806,0.0,4000
4,norm_ratio,C,0.35622945171035186,0.0,4000
4,spim,I,0.5852415545825862,0.0,4000
4,spim,S,0.701428639265913,0.0,4000
4,spim,T,0.7104098508489616,0.0,4000
4,spim,F,0.7194261800204951,0.0,4000
4,spim,C,0.5983859917714386,0.0,4000
5,cosine,I,0.6338819180961069,0.0,4000
5,cosine,S,0.6137057946188155,0.0,4000
5,cosine,T,0.26562228727632525,0.0,4000
5,cosine,F,0.7379459379040573,0.0,4000
5,cosine,C,0.153359135786751,0.0,4000
5,l2,I,0.6009837527220769,0.0,4000
5,l2,S,0.6397775630599218,0.0,4000
5,l2,T,0.2865390709015028,0.0,4000
5,l2,F,0.7434301007289107,0.0,4000
5,l2,C,0.2701734546879642,0.0,4000
5,norm_ratio,I,0.7979816382358359,0.0,4000
5,norm_ratio,S,0.8094886298800348,0.0,4000
5,norm_ratio,T,0.7048963098383917,0.0,4000
5,norm_ratio,F,0.5878749299669891,0.0,4000
5,norm_ratio,C,0.09584624192845666,0.0,4000
5,spim,I,0.6577163907001085,0.0,4000
5,spim,S,0.7391337789374103,0.0,4000
5,spim,T,0.5269711279852384,0.0,4000
5,spim,F,0.7032943416359714,0.0,4000
5,spim,C,0.7953527313282319,0.0,4000
6,cosine,I,0.8837268138724628,0.0,4000
6,cosine,S,0.7172637874983684,0.0,4000
6,cosine,T,0.4450078058629397,0.0,4000
6,cosine,F,0.7427818265630369,0.0,4000
6,cosine,C,0.3459087392792339,0.0,4000
6,l2,I,0.7843498590003313,0.0,4000
6,l2,S,0.746095359760093,0.0,4000
6,l2,T,0.426696762668433,0.0,4000
6,l2,F,0.7964579298710706,0.0,4000
6,l2,C,0.685862942618081,0.0,4000
6,norm_ratio,I,0.7751039773104987,0.0,4000
6,norm_ratio,S,0.8206632085157761,0.0,4000
6,norm_ratio,T,0.7611516795889844,0.0,4000
6,norm_ratio,F,0.6745649297708793,0.0,4000
6,norm_ratio,C,0.10718263774449287,0.0,4000
6,spim,I,0.7874129073897619,0.0,4000
6,spim,S,0.7930250532915495,0.0,4000
6,spim,T,0.6318189778562842,0.0,4000
6,spim,F,0.7743204318117829,0.0,4000
6,spim,C,0.8501378964900496,0.0,4000
0,cosine,I,0.008089256452899943,3.439800360484233e-06,5000
0,cosine,S,,,5000
0,cosine,T,,,5000
0,cosine,F,,,5000
0,cosine,C,,,5000
0,l2,I,,,5000
0,l2,S,0.8196480799426772,0.0,5000
0,l2,T,0.8196480799426772,0.0,5000
