model1,model2,metric,component,layer0,layer1,layer2,layer3,layer4,layer5,layer6
s0-eng,sla-eng,l2,I,,0.6817844823225053,0.6817844823225053,0.6817844823225053,0.6817844823225053,0.6817844823225053,0.6817844823225053
s0-eng,ine-eng,l2,I,,-1.1236821800822143,-1.1236821800822143,-1.1236821800822143,-1.1236821800822143,-1.1236821800822143,-1.1236821800822143
s0-eng,mul-eng,l2,I,,-0.7245684104322431,-0.7245684104322431,-0.7245684104322431,-0.7245684104322431,-0.7245684104322431,-0.7245684104322431
s1-eng,s2-eng,l2,I,,-0.16759826227845342,-0.16759826227845342,-0.16759826227845342,-0.16759826227845342,-0.16759826227845342,-0.16759826227845342
s1-eng,sla-eng,l2,I,,0.2506259866737741,0.2506259866737741,0.2506259866737741,0.2506259866737741,0.2506259866737741,0.2506259866737741
s1-eng,ine-eng,l2,I,,-1.399772603601709,-1.399772603601709,-1.399772603601709,-1.399772603601709,-1.399772603601709,-1.399772603601709
s1-eng,mul-eng,l2,I,,-0.5817245601033435,-0.5817245601033435,-0.5817245601033435,-0.5817245601033435,-0.5817245601033435,-0.5817245601033435
s2-eng,sla-eng,l2,I,,0.6646090428245505,0.6646090428245505,0.6646090428245505,0.6646090428245505,0.6646090428245505,0.6646090428245505
s2-eng,ine-eng,l2,I,,-0.004204199635017389,-0.004204199635017389,-0.004204199635017389,-0.004204199635017389,-0.004204199635017389,-0.004204199635017389
s2-eng,mul-eng,l2,I,,0.3812349246574354,0.3812349246574354,0.3812349246574354,0.3812349246574354,0.3812349246574354,0.3812349246574354
sla-eng,ine-eng,l2,I,,0.022188428663408945,0.022188428663408945,0.022188428663408945,0.022188428663408945,0.022188428663408945,0.022188428663408945
sla-eng,mul-eng,l2,I,,0.7859870252324356,0.7859870252324356,0.7859870252324356,0.7859870252324356,0.7859870252324356,0.7859870252324356
ine-eng,mul-eng,l2,I,,-1.174487723240475,-1.174487723240475,-1.174487723240475,-1.174487723240475,-1.174487723240475,-1.174487723240475
s0-eng,s1-eng,l2,S,38.167377595802535,-1.2847971864840377,-1.2847971864840377,-1.2847971864840377,-1.2847971864840377,-1.2847971864840377,-1.2847971864840377
s0-eng,s2-eng,l2,S,40.34628082031788,0.20038843659934202,0.20038843659934202,0.20038843659934202,0.20038843659934202,0.20038843659934202,0.20038843659934202
s0-eng,sla-eng,l2,S,50.79499180235256,0.695713289529569,0.695713289529569,0.695713289529569,0.695713289529569,0.695713289529569,0.695713289529569
s0-eng,ine-eng,l2,S,62.85191525564152,-1.3009698217697023,-1.3009698217697023,-1.3009698217697023,-1.3009698217697023,-1.3009698217697023,-1.3009698217697023
s0-eng,mul-eng,l2,S,113.31572990018536,-0.7905662087268389,-0.7905662087268389,-0.7905662087268389,-0.7905662087268389,-0.7905662087268389,-0.7905662087268389
s1-eng,s2-eng,l2,S,78.74553376998135,0.333140481627444,0.333140481627444,0.333140481627444,0.333140481627444,0.333140481627444,0.333140481627444
s1-eng,sla-eng,l2,S,63.80311148488915,0.5398741315422999,0.5398741315422999,0.5398741315422999,0.5398741315422999,0.5398741315422999,0.5398741315422999
s1-eng,ine-eng,l2,S,70.18877925115976,-1.5490921092654735,-1.5490921092654735,-1.5490921092654735,-1.5490921092654735,-1.5490921092654735,-1.5490921092654735
s1-eng,mul-eng,l2,S,127.6203375597935,-0.7076756047509368,-0.7076756047509368,-0.7076756047509368,-0.7076756047509368,-0.7076756047509368,-0.7076756047509368
s2-eng,sla-eng,l2,S,57.7333940484036,2.011968611167613,2.011968611167613,2.011968611167613,2.011968611167613,2.011968611167613,2.011968611167613
s2-eng,ine-eng,l2,S,66.49222242098834,0.40442584544807864,0.40442584544807864,0.40442584544807864,0.40442584544807864,0.40442584544807864,0.40442584544807864
s2-eng,mul-eng,l2,S,95.05555859264952,1.0505365292374875,1.0505365292374875,1.0505365292374875,1.0505365292374875,1.0505365292374875,1.0505365292374875
sla-eng,ine-eng,l2,S,44.52487974921521,0.5778878551603752,0.5778878551603752,0.5778878551603752,0.5778878551603752,0.5778878551603752,0.5778878551603752
sla-eng,mul-eng,l2,S,81.8202478614152,1.3355308316543257,1.3355308316543257,1.3355308316543257,1.3355308316543257,1.3355308316543257,1.3355308316543257
ine-eng,mul-eng,l2,S,77.72076595925309,-0.9688609223908698,-0.9688609223908698,-0.9688609223908698,-0.9688609223908698,-0.9688609223908698,-0.9688609223908698
s0-eng,s1-eng,l2,T,38.167377595802535,0.16435161315501107,0.16435161315501107,0.16435161315501107,0.16435161315501107,0.16435161315501107,0.16435161315501107
s0-eng,s2-eng,l2,T,40.34628082031788,2.6259378588631765,2.6259378588631765,2.6259378588631765,2.6259378588631765,2.6259378588631765,2.6259378588631765
s0-eng,sla-eng,l2,T,50.79499180235256,2.0547761408119816,2.0547761408119816,2.0547761408119816,2.0547761408119816,2.0547761408119816,2.0547761408119816
s0-eng,ine-eng,l2,T,62.85191525564152,0.9825545037106309,0.9825545037106309,0.9825545037106309,0.9825545037106309,0.9825545037106309,0.9825545037106309
s0-eng,mul-eng,l2,T,113.31572990018536,1.4245977329267387,1.4245977329267387,1.4245977329267387,1.4245977329267387,1.4245977329267387,1.4245977329267387
s1-eng,s2-eng,l2,T,78.74553376998135,2.4958002829653356,2.4958002829653356,2.4958002829653356,2.4958002829653356,2.4958002829653356,2.4958002829653356
s1-eng,sla-eng,l2,T,63.80311148488915,1.3961359269244997,1.3961359269244997,1.3961359269244997,1.3961359269244997,1.3961359269244997,1.3961359269244997
s1-eng,ine-eng,l2,T,70.18877925115976,-0.37273604656978376,-0.37273604656978376,-0.37273604656978376,-0.37273604656978376,-0.37273604656978376,-0.37273604656978376
s1-eng,mul-eng,l2,T,127.6203375597935,0.8657637270634446,0.8657637270634446,0.8657637270634446,0.8657637270634446,0.8657637270634446,0.8657637270634446
s2-eng,sla-eng,l2,T,57.7333940484036,1.20500257198564,1.20500257198564,1.20500257198564,1.20500257198564,1.20500257198564,1.20500257198564
s2-eng,ine-eng,l2,T,66.49222242098834,1.7122308049987276,1.7122308049987276,1.7122308049987276,1.7122308049987276,1.7122308049987276,1.7122308049987276
s2-eng,mul-eng,l2,T,95.05555859264952,1.3044181850476106,1.3044181850476106,1.3044181850476106,1.3044181850476106,1.3044181850476106,1.3044181850476106
sla-eng,ine-eng,l2,T,44.52487974921521,0.23697456474221962,0.23697456474221962,0.23697456474221962,0.23697456474221962,0.23697456474221962,0.23697456474221962
sla-eng,mul-eng,l2,T,81.8202478614152,0.46011800535274433,0.46011800535274433,0.46011800535274433,0.46011800535274433,0.46011800535274433,0.46011800535274433
ine-eng,mul-eng,l2,T,77.72076595925309,-0.23690176762732815,-0.23690176762732815,-0.23690176762732815,-0.23690176762732815,-0.23690176762732815,-0.23690176762732815
s0-eng,s1-eng,l2,F,38.167377595802535,-0.576608933371014,-0.576608933371014,-0.576608933371014,-0.576608933371014,-0.576608933371014,-0.576608933371014
s0-eng,s2-eng,l2,F,40.34628082031788,0.5907584276754682,0.5907584276754682,0.5907584276754682,0.5907584276754682,0.5907584276754682,0.5907584276754682
s0-eng,sla-eng,l2,F,50.79499180235256,0.3480147064443386,0.3480147064443386,0.3480147064443386,0.3480147064443386,0.3480147064443386,0.3480147064443386
s0-eng,ine-eng,l2,F,62.85191525564152,-0.9075819660931805,-0.9075819660931805,-0.9075819660931805,-0.9075819660931805,-0.9075819660931805,-0.9075819660931805
s0-eng,mul-eng,l2,F,113.31572990018536,-0.5194257591028661,-0.5194257591028661,-0.5194257591028661,-0.5194257591028661,-0.5194257591028661,-0.5194257591028661
s1-eng,s2-eng,l2,F,78.74553376998135,0.7729638767373005,0.7729638767373005,0.7729638767373005,0.7729638767373005,0.7729638767373005,0.7729638767373005
s1-eng,sla-eng,l2,F,63.80311148488915,0.616633702625806,0.616633702625806,0.616633702625806,0.616633702625806,0.616633702625806,0.616633702625806
s1-eng,ine-eng,l2,F,70.18877925115976,-0.8192529307130539,-0.8192529307130539,-0.8192529307130539,-0.8192529307130539,-0.8192529307130539,-0.8192529307130539
s1-eng,mul-eng,l2,F,127.6203375597935,-0.8277645452282677,-0.8277645452282677,-0.8277645452282677,-0.8277645452282677,-0.8277645452282677,-0.8277645452282677
s2-eng,sla-eng,l2,F,57.7333940484036,0.8000515113989588,0.8000515113989588,0.8000515113989588,0.8000515113989588,0.8000515113989588,0.8000515113989588
s2-eng,ine-eng,l2,F,66.49222242098834,-0.13203023725392365,-0.13203023725392365,-0.13203023725392365,-0.13203023725392365,-0.13203023725392365,-0.13203023725392365
s2-eng,mul-eng,l2,F,95.05555859264952,0.425586643692619,0.425586643692619,0.425586643692619,0.425586643692619,0.425586643692619,0.425586643692619
sla-eng,ine-eng,l2,F,44.52487974921521,-0.09419917915598856,-0.09419917915598856,-0.09419917915598856,-0.09419917915598856,-0.09419917915598856,-0.09419917915598856
