model1,model2,metric,component,layer0,layer1,layer2,layer3,layer4,layer5,layer6
ine-eng,rus-eng s1,spim,T,,241.65454661274813,14.060739119312261,202.01296086109008,122.38633797386952,390.9264427822232,135.38604233666686
ine-eng,rus-eng s2,spim,T,,55.294568975494464,12.25966743613076,203.62536797765682,134.28534787375983,110.96116920061507,104.3769810484914
ine-eng,rus-eng s3,spim,T,,51.48264641160682,14.895840123430952,160.2242434166526,42.9848519494354,284.8408285208326,247.8800534274114
sla-eng,rus-eng s1,spim,T,,164.34551781606393,21.15334831278315,26.35060116164428,79.01258582682452,111.36128129218481,165.65172785864573
sla-eng,rus-eng s2,spim,T,,46.447131379343055,15.641750384988857,24.02142465764931,41.162214743270226,424.262410405249,201.48108285380295
sla-eng,rus-eng s3,spim,T,,101.82790335935404,9.914573867235,28.2679462483259,53.17485928011576,79.18574793862261,201.52057593270902
mul-eng,rus-eng s1,spim,T,,385.20411690295197,24.37073182537922,127.32078822674306,401.77000284054407,186.97314824218492,129.2212586559589
mul-eng,rus-eng s2,spim,T,,197.0190613371456,24.719337597943117,127.43756323763098,387.3196793789727,325.3012711782233,189.65516027663475
mul-eng,rus-eng s3,spim,T,,70.46128522853283,15.866592777790142,79.4409099586441,517.4981768048398,167.95191886111184,294.97790026002735
ine-eng,sla-eng,spim,T,,56.316564396527696,13.061780586356399,160.76877972531358,94.54735801988835,362.1176314708994,138.1676839668277
ine-eng,mul-eng,spim,T,,119.42208394567719,23.296937143169586,54.8232642466956,603.1905912567506,292.9941609068931,124.46758694130085
sla-eng,mul-eng,spim,T,,160.62209945246747,14.211285938438493,94.19551006712653,376.94716302241534,214.26278322450395,142.16576993330327
rus-eng s1,rus-eng s2,spim,F,,27.11655664558662,12.389771191242216,15.092519804015106,15.148074578273373,17.558327191982464,199.49642918854775
rus-eng s2,rus-eng s3,spim,F,,10.188812363366406,12.344307246562376,25.341452975834848,13.121821561579068,44.29957266050163,187.58078527597274
rus-eng s3,rus-eng s1,spim,F,,32.28090220082059,10.273363375406957,27.35540794647602,10.619232251102414,41.36542256926065,106.62544956886829
ine-eng,rus-eng s1,spim,F,,55.405913076547364,20.61368015919021,17.162419221257885,20.309524621776937,15.80935777387468,241.11143082008664
ine-eng,rus-eng s2,spim,F,,25.701101202715567,16.320276941495557,18.978054368090113,10.462260746073685,17.378546317940433,220.0341840793171
ine-eng,rus-eng s3,spim,F,,19.443797522850264,20.697185749315228,36.945644643346135,19.538041407292905,42.76394474669138,200.3799878433103
sla-eng,rus-eng s1,spim,F,,76.90858953039769,12.72908025356599,20.158638854341728,13.79164118193489,15.347768758959283,159.16994719874887
sla-eng,rus-eng s2,spim,F,,36.26024529712681,12.207096519510925,24.583609951823906,12.486699324316321,29.705893846243978,137.64631782352967
sla-eng,rus-eng s3,spim,F,,33.767448061201996,8.663338334790568,50.34198264451415,18.155154451724496,41.741140636934375,125.48635440425774
mul-eng,rus-eng s1,spim,F,,34.452634196917124,42.855892040785236,20.29835961692925,13.298215772833002,47.809599898788186,189.39463182498022
mul-eng,rus-eng s2,spim,F,,20.25562474957569,38.10044263556975,18.601155125249612,15.916370808986802,40.02994911370922,168.02996837372538
mul-eng,rus-eng s3,spim,F,,23.725076225860278,43.59746213691113,41.653065706459024,16.096846255188215,84.41576893477566,159.3526586366746
ine-eng,sla-eng,spim,F,,19.757935908563013,14.492226797496183,15.031356723592708,10.753726173033774,17.095902703771532,183.60654004746974
ine-eng,mul-eng,spim,F,,30.194958713085068,19.02365253171265,6.999703327323344,13.246468462983442,34.18051659785321,130.421595503984
sla-eng,mul-eng,spim,F,,29.918159122484354,37.872462032925476,17.34418104816396,9.457075690092868,38.96228657879282,119.30828667930628
rus-eng s1,rus-eng s2,spim,C,,6.289149285615134,7.569480559164546,14.10870786974361,17.198423598488123,26.28035974406914,168.65010981707067
rus-eng s2,rus-eng s3,spim,C,,2.737854890119465,8.844298605023303,9.307924664937028,9.758178176266448,56.57971164602676,382.86710735257805
rus-eng s3,rus-eng s1,spim,C,,9.193927617345759,2.9088486117668806,5.855915242723269,22.621402377649087,35.7111484127492,340.27049304349333
ine-eng,rus-eng s1,spim,C,,5.594757692705784,27.43591063960635,14.189925713439868,21.485457740734827,25.036890876972027,147.13442935875608
ine-eng,rus-eng s2,spim,C,,7.741448670434123,36.3345942056084,17.29071870264044,5.4545315759907735,21.753918347491066,210.55625001944955
ine-eng,rus-eng s3,spim,C,,10.082120326596677,25.04512852840039,16.65196610436341,10.325231656779684,36.16884867006171,254.9993747368796
sla-eng,rus-eng s1,spim,C,,7.876661684826884,14.94583423688179,19.106662684627977,26.633157225688233,28.983499094982555,180.20022750485455
sla-eng,rus-eng s2,spim,C,,3.7609056646324577,22.862932286647936,16.11390530346154,9.564330963751521,52.88198726668668,215.82444817741307
sla-eng,rus-eng s3,spim,C,,4.009449657846913,12.942310028609423,20.930445971662728,17.07238032758343,31.36716911827142,286.7064130647225
mul-eng,rus-eng s1,spim,C,,13.083004378278321,38.66422726446124,17.411826263167633,13.57343534038908,64.50358440827519,135.45818716270747
mul-eng,rus-eng s2,spim,C,,21.897190331589794,48.116383688036834,17.668581773880774,7.338352223973162,65.51011563432229,151.7876865799715
mul-eng,rus-eng s3,spim,C,,25.15717154424161,36.537495496364734,18.563300614888973,18.303139613055357,90.60778119631358,240.9201567773317
ine-eng,sla-eng,spim,C,,7.978808142498967,8.938596919778233,4.4863142178099835,8.227758856333237,35.46255609201179,149.16795449430785
ine-eng,mul-eng,spim,C,,12.379236930795443,9.095294768433057,2.715879879894282,9.542935781848472,50.98612337613585,78.43327952432
sla-eng,mul-eng,spim,C,,23.39776706486086,16.416869270103422,4.566167192173309,10.910291061750236,75.6521377132276,86.73789560272316
