model1,model2,metric,component,layer0,layer1,layer2,layer3,layer4,layer5,layer6
s2-eng,sla-eng,l2,T,,-0.6270937419183892,-0.6270937419183892,-0.6270937419183892,-0.6270937419183892,-0.6270937419183892,-0.6270937419183892
s2-eng,ine-eng,l2,T,,-0.3091708930862076,-0.3091708930862076,-0.3091708930862076,-0.3091708930862076,-0.3091708930862076,-0.3091708930862076
s2-eng,mul-eng,l2,T,,-0.9685288440617605,-0.9685288440617605,-0.9685288440617605,-0.9685288440617605,-0.9685288440617605,-0.9685288440617605
sla-eng,ine-eng,l2,T,,1.8172514900924355,1.8172514900924355,1.8172514900924355,1.8172514900924355,1.8172514900924355,1.8172514900924355
sla-eng,mul-eng,l2,T,,-1.0871302717096365,-1.0871302717096365,-1.0871302717096365,-1.0871302717096365,-1.0871302717096365,-1.0871302717096365
ine-eng,mul-eng,l2,T,,1.041356807886927,1.041356807886927,1.041356807886927,1.041356807886927,1.041356807886927,1.041356807886927
s0-eng,s1-eng,l2,C,347.77877244001473,0.5465018010901416,0.5465018010901416,0.5465018010901416,0.5465018010901416,0.5465018010901416,0.5465018010901416
s0-eng,s2-eng,l2,C,348.907493589712,-0.4219661219471925,-0.4219661219471925,-0.4219661219471925,-0.4219661219471925,-0.4219661219471925,-0.4219661219471925
s0-eng,sla-eng,l2,C,352.1297741972463,-1.0953117770903047,-1.0953117770903047,-1.0953117770903047,-1.0953117770903047,-1.0953117770903047,-1.0953117770903047
s0-eng,ine-eng,l2,C,341.043220274891,0.4114058787246384,0.4114058787246384,0.4114058787246384,0.4114058787246384,0.4114058787246384,0.4114058787246384
s0-eng,mul-eng,l2,C,344.60958083671875,-0.886127783281454,-0.886127783281454,-0.886127783281454,-0.886127783281454,-0.886127783281454,-0.886127783281454
s1-eng,s2-eng,l2,C,352.55043467796725,-1.2539768624571177,-1.2539768624571177,-1.2539768624571177,-1.2539768624571177,-1.2539768624571177,-1.2539768624571177
s1-eng,sla-eng,l2,C,356.4474849812903,1.1732999029443913,1.1732999029443913,1.1732999029443913,1.1732999029443913,1.1732999029443913,1.1732999029443913
s1-eng,ine-eng,l2,C,345.39774985776177,-1.4644512048543048,-1.4644512048543048,-1.4644512048543048,-1.4644512048543048,-1.4644512048543048,-1.4644512048543048
s1-eng,mul-eng,l2,C,344.3260216837314,0.01819590273670232,0.01819590273670232,0.01819590273670232,0.01819590273670232,0.01819590273670232,0.01819590273670232
s2-eng,sla-eng,l2,C,350.8684126982636,-0.3453168136124733,-0.3453168136124733,-0.3453168136124733,-0.3453168136124733,-0.3453168136124733,-0.3453168136124733
s2-eng,ine-eng,l2,C,339.2438022622068,-1.245166467794109,-1.245166467794109,-1.245166467794109,-1.245166467794109,-1.245166467794109,-1.245166467794109
s2-eng,mul-eng,l2,C,347.1495448942077,-0.9496515487049747,-0.9496515487049747,-0.9496515487049747,-0.9496515487049747,-0.9496515487049747,-0.9496515487049747
sla-eng,ine-eng,l2,C,349.63890036907026,0.9569907894733501,0.9569907894733501,0.9569907894733501,0.9569907894733501,0.9569907894733501,0.9569907894733501
sla-eng,mul-eng,l2,C,352.18459041161634,-1.1427657747063857,-1.1427657747063857,-1.1427657747063857,-1.1427657747063857,-1.1427657747063857,-1.1427657747063857
ine-eng,mul-eng,l2,C,332.2486515955114,-0.008339069518111945,-0.008339069518111945,-0.008339069518111945,-0.008339069518111945,-0.008339069518111945,-0.008339069518111945
s0-eng,s1-eng,norm_ratio,S,,2.0289641348913956,2.0289641348913956,2.0289641348913956,2.0289641348913956,2.0289641348913956,2.0289641348913956
s0-eng,s2-eng,norm_ratio,S,,-0.3021320811416021,-0.3021320811416021,-0.3021320811416021,-0.3021320811416021,-0.3021320811416021,-0.3021320811416021
s0-eng,sla-eng,norm_ratio,S,,-0.46253100760806787,-0.46253100760806787,-0.46253100760806787,-0.46253100760806787,-0.46253100760806787,-0.46253100760806787
s0-eng,ine-eng,norm_ratio,S,,1.7739939392441866,1.7739939392441866,1.7739939392441866,1.7739939392441866,1.7739939392441866,1.7739939392441866
s0-eng,mul-eng,norm_ratio,S,,-0.40015583477348676,-0.40015583477348676,-0.40015583477348676,-0.40015583477348676,-0.40015583477348676,-0.40015583477348676
s1-eng,s2-eng,norm_ratio,S,,1.2772707264249492,1.2772707264249492,1.2772707264249492,1.2772707264249492,1.2772707264249492,1.2772707264249492
s1-eng,sla-eng,norm_ratio,S,,1.574538839653867,1.574538839653867,1.574538839653867,1.574538839653867,1.574538839653867,1.574538839653867
s1-eng,ine-eng,norm_ratio,S,,-0.3501938890320771,-0.3501938890320771,-0.3501938890320771,-0.3501938890320771,-0.3501938890320771,-0.3501938890320771
s1-eng,mul-eng,norm_ratio,S,,1.69025608841458,1.69025608841458,1.69025608841458,1.69025608841458,1.69025608841458,1.69025608841458
s2-eng,sla-eng,norm_ratio,S,,-0.3456176725016362,-0.3456176725016362,-0.3456176725016362,-0.3456176725016362,-0.3456176725016362,-0.3456176725016362
